epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.776180,0.4974,0.697222,0.4817,0.535483,1.000000e-03
2,0.694661,0.4994,0.692954,0.5183,0.514878,1.000000e-03
3,0.694213,0.4959,0.692661,0.5183,0.540147,1.000000e-03
4,0.695286,0.4996,0.693600,0.5183,0.559577,1.000000e-03
5,0.694951,0.4856,0.692562,0.5183,0.564648,1.000000e-03
6,0.694659,0.4964,0.696785,0.5183,0.602564,1.000000e-03
7,0.696645,0.5002,0.693073,0.5237,0.614600,1.000000e-03
8,0.694972,0.4989,0.692981,0.5183,0.603737,1.000000e-03
9,0.698390,0.5021,0.696679,0.5183,0.635535,1.000000e-03
10,0.697665,0.5062,0.699259,0.4817,0.628888,1.000000e-03
