epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.706099,0.6148,0.570371,0.6871,0.790605,1.000000e-03
2,0.565338,0.7064,0.547701,0.7205,0.814802,1.000000e-03
3,0.523994,0.7404,0.568872,0.7211,0.818387,1.000000e-03
4,0.491744,0.7627,0.565529,0.7085,0.801130,1.000000e-03
5,0.470668,0.7805,0.546273,0.7131,0.801526,1.000000e-03
6,0.440659,0.7983,0.543530,0.7218,0.821990,1.000000e-03
7,0.425746,0.8020,0.555123,0.7498,0.819338,1.000000e-03
8,0.401285,0.8161,0.529492,0.7492,0.825163,1.000000e-03
9,0.375138,0.8324,0.611645,0.7171,0.807444,1.000000e-03
10,0.361760,0.8417,0.622577,0.7432,0.798844,1.000000e-03
11,0.335906,0.8561,0.607999,0.7432,0.791515,1.000000e-03
12,0.292545,0.8756,0.747511,0.7338,0.793604,1.000000e-03
